Station,Sample,Filter,Photo,Type,Type2,Colour,Colour2,Colour3,Colour4,Col.Type,Length,Width,Area,Perimeter,Perimeter.2,Comments
914,A,42,6,Fibre,,Transparent/red,,,,,2510.15,9.41,,,,
914,A,42,7,Fragment,,Transparent/purple,,,,,274.22,28.83,10092.94,691.55,,
914,A,42,8,Fibre,,Purple,,,,,1412.59,7.42,,,,
914,B,43,2,Fibre,,Red,,,,,7042.66,18.24,,,,
914,B,43,3,Fibre,,Transparent/blue,,,,,873.02,22.66,,,,
914,B,43,4,Fibre,,Black,,,,,1663.17,12.08,,,,
914,B,43,5,Fragment,,Black/transparent,,,,,156.81,84.02,13783.18,610.13,,
914,B,43,6,Fibre,,Red/brown,,,,,779.35,13,,,,
914,B,43,7,Fibre,,Transparent/blue,,,,,590.72,37.82,,,,
914,C,44,0,Fibre,,Light green/blue,,,,,2535.49,544.59,,,,From boat?
914,C,44,1,Fibre,,Transparent/blue,,,,,636.51,11.1,,,,
914,C,44,2,Fibre,,Transparent/blue,,,,,1272.33,11.54,,,,
914,C,44,3,Fibre,,Transparent/blue,,,,,2012.1,7.73,,,,
914,C,44,5,Fibre,,Red,,,,,3440.73,11.1,,,,
914,C,44,5,Fragment,,Transparent/black,,,,,626.56,103.28,181437.06,2659.71,,Looks like rubber
914,C,44,6,Fibre,,Transparent/blue,,,,,3697.98,16.32,,,,
914,C,44,7,Fibre,,Red,,,,,2106.02,17.9,,,,
914,C,44,8,Fragment,,Transparent/black,,,,,360.33,52.26,26159.81,1041.55,,Looks like rubber
914,C,44,9,Fibre,,Transparent/blue,,,,,443.98,8.46,,,,
914,C,44,9,Fibre,,Transparent/blue,,,,,354.15,5.47,,,,
914,C,44,10,Fibre,,Transparent/blue,,,,,1658.63,15.46,,,,
914,C,44,11,Fibre,,Transparent/blue,,,,,2133.63,19.05,,,,
914,C,44,12,Fibre,,Transparent/blue,,,,,3924.31,13.6,,,,
914,C,44,13,Fibre,,Red,,,,,1404.27,18.25,,,,
914,C,44,14,Fibre,,Blue,,,,,1020.71,22.42,,,,
914,Blank,45,0,Fibre,,Transparent,,,,,2922.02,40.36,,,,This would have not been detected on a normal filter
914,Blank,45,1,Fibre,,Transparent/redish,,,,,1877.33,5.85,,,,This would have not been detected on a normal filter
914,Blank,45,2,Fibre,,Transparent/blue,,,,,1044.96,11.61,,,,This fibre is often found in samples!!
914,Blank,45,3,Fibre,,Transparent/redish,,,,,769.08,4.85,,,,
914,Blank,45,4,Fibre,,Transparent/redish,,,,,1136.2,4.22,,,,Same as 1 and 3
914,Blank,45,5,Fibre,,Transparent/redish,,,,,1067.04,4.68,,,,"Same as 1,3 and 4"
915,A,46,,Fibre,,Blue,,,,,1799.74,27.79,,,,Looks like propper plastic
915,A,46,1,Fibre,,Blue,,,,,259.19,16.64,,,,Looks like propper plastic
915,A,46,2,Fibre,,Transparent,,,,,858.49,19.6,,,,
915,A,46,3,Fibre,,red,,,,,2384.73,11.77,,,,
915,A,46,3,Fragment,,Transparent/black,,,,,367.39,83.88,39800.94,958.55,,
915,B,47,,Fibre,,Black,,,,,356.74,8.87,,,,
915,B,47,1,Fibre,,Black,,,,,1647.49,6.84,,,,
915,B,47,2,Fibre,,Blue,,,,,437.12,12.74,,,,
915,C,48,,Fibre,,Transparent,,,,,1168.34,16.23,,,,
915,C,48,1,Fibre,,Black,,,,,440.23,8.5,,,,
915,C,48,2,Fibre,,Blue,,,,,659.79,16.31,,,,
915,C,48,3,Fibre,,Black,,,,,555.06,13.27,,,,
915,C,48,4,Fibre,,Black,,,,,5357.72,8.94,,,,
915,C,48,5,Fibre,,Blue,,,,,1074.05,8.94,,,,sometimes seen on blanks
915,C,48,6,Fibre,,Black,,,,,644.34,12.16,,,,
915,C,48,7,Fibre,,Blue,,,,,392.89,19.33,,,,
915,Blanksea,50,0,Fibre,,Transparent,,,,,3580.68,7.12,,,,NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
915,Blank,51,,,,,,,,,,,,,,nothing
916,A,52,,Fibre,,Purple/black,,,,,925.11,9.69,,,,
916,A,52,1,Fibre,,Purple/black,,,,,584.53,13.21,,,,
916,B,53,,,,,,,,,,,,,,nothing
916,C,54,1,Fibre,,Black,,,,,774.67,9.92,,,,
916,C,54,2,Fragment,,White,,,,,323.6,126.3,44284.11,922.45,,
916,Blanksea,55,0,Fibre,,Transparent,,,,,1666.34,9.53,,,,NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
916,Blanksea,55,2,Fibre,,Transparent,,,,,656.09,16.93,,,,
916,Blank,56,,,,,,,,,,,,,,nothing
917,A,57,,,,,,,,,,,,,,lost sample
917,B,58,,,,,,,,,,,,,,impossible to see thourgh
917,C,59,,,,,,,,,,,,,,impossible to see thourgh
917,Blanksea,61,1,Fibre,,Transparent/bluish,,,,,826.69,20.09,,,,NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
917,Blanksea,61,,Fibre,,Blue,,,,,186.87,9.02,,,,NB: St 915-917 blank was filtered on filter paper right after sampling without processing it any further.
917,Blank,60,,,,,,,,,,,,,,nothing
918,A,67,,Fibre,,black,,,,,2042.58,7.38,,,,looks like plastic
918,A,67,1,Paint,,blue,,,,,264.56,284.49,63380.45,948.92,,paint from boat
918,A,67,2,Fibre,,faint blue/transparent,,,,,1219.91,17.01,,,,often in samples/not plastic?/contamination?
918,A,67,3,Paint,,blue,,,,,122.87,79.94,10530.51,425.75,,paint from boat
918,A,67,4,Fibre,,orange,,,,,583.84,21.59,,,,
918,A,67,5,Fibre,,black,,,,,211.92,8.28,,,,looks like rubber
918,B,68,,Fibre,,black,,,,,1400.88,10.54,,,,
918,B,68,1,Fragment,,faint blue/transparent,,,,,246.6,55.45,13601.35,629.64,,often in samples/not plastic?/contamination?
918,C,69,,Fibre,,faint blue/transparent,,,,,1734.02,6.7,,,,often in samples/not plastic?/contamination?
918,C,69,1,Fibre,,Black,,,,,659.23,12.1,,,,real plastic
918,C,69,2,Fibre,,faint blue/transparent,,,,,1861.01,80.4,,,,often in samples/not plastic?/contamination?
918,C,69,2,Fibre,,faint blue/transparent,,,,,339.94,11.06,,,,often in samples/not plastic?/contamination?
918,C,69,2,Fibre,,faint blue/transparent,,,,,1292.65,23.85,,,,often in samples/not plastic?/contamination?
918,C,69,3,Fragment,,faint blue green/transparent,,,,,325.24,181.41,51923.5,904.93,,often in samples/not plastic?/contamination?
918,C,69,4,Fibre,,faint blue,,,,,1263.32,26.41,,,,often in samples/not plastic?/contamination?
918,C,69,5,Fibre,,brown/transparent,,,,,2435.76,3.69,,,,
918,C,69,6,Fibre,,faint blue,,,,,794.72,29.5,,,,"often in saples, rope?"
918,C,69,7,Fibre,,faint blue,,,,,2845.99,86.86,,,,"often in saples, rope?"
918,C,69,8,Fibre,,faint blue,,,,,565.06,42.02,,,,"often in saples, rope?"
918,C,69,8,Fibre,,faint blue,,,,,310.62,46.29,,,,"often in saples, rope?"
918,Blanksea,62,,Fibre,,Transparent,,,,,731.51,9.8,,,,
918,Blanksea,62,,Fibre,,Blue,,,,,61.85,8.52,,,,
918,Blanksea,62,,Fibre,,Blue,,,,,394.4,28.83,,,,
919,A,70,,Fragment/Paint,,orange,,,,,129.95,118.36,9572.82,368.84,,paint from boat?
919,A,70,2,Fibre,,blue/purple,,,,,768.99,9.17,,,,new color
919,A,70,4,Fibre,,brown/transparent,,,,,2997.66,18.63,,,,natural?
919,A,70,5,Fragment,,faint blue,,,,,130.51,100.32,13747.48,496.52,,often in samples/not plastic?/contamination?
919,A,70,7,Fragment,,faint blue,,,,,128.96,355.73,37313.16,919.43,,often in samples/not plastic?/contamination?
919,A,70,8,Fibre,,black,,,,,1204.7,8.2,,,,plastic
919,A,70,9,Fibre,,balck,,,,,1753.45,8.2,,,,plastic
919,A,70,10,Fibre,,black,,,,,1274.99,14.64,,,,plastic
919,B,71,,Fragment,,faint blue,,,,,146.65,56.48,9315.24,421.38,,often in samples/not plastic?/contamination?
919,B,71,2,Fibre,,faint blue green/transparent,,,,,550.18,11.91,,,,often in samples/not plastic?/contamination?
919,B,71,3,Fragment,,transparent/blueish,,,,,691.11,129.78,114407.06,1782.34,,piece of rope??
919,B,71,4,Fragment,,faint blue,,,,,780.03,501.19,260712.88,2272.93,,often in samples/not plastic?/contamination?
919,B,71,5,Fibre,,black,,,,,927.57,20.38,,,,rubber?
919,B,71,6,Fragment,,faint blue,,,,,151.86,124.62,17495.78,526.93,,often in samples/not plastic?/contamination?
919,C,72,,Fibre,,blue/purple,,,,,818.12,13.8,,,,
919,C,72,,Fibre,,transparent blue,,,,,921.9,13.92,,,,often in samples/not plastic?/contamination?
919,C,72,1,Fibre,,white,,,,,4127.52,48.87,,,,bone?
919,Blanksea,63,1,Fibre,,Red,,,,,400.25,8.46,,,,
919,Blanksea,63,2,Fibre,,transparent,,,,,1813.05,6.46,,,,
919,Blanksea,63,3,Fibre,,black,,,,,246.53,6.43,,,,
919,Blanksea,63,4,Fibre,,black,,,,,1887.75,11.96,,,,
919,Blanksea,63,5,Fibre,,black,,,,,1035.18,12.92,,,,
919,Blanksea,63,7,Fibre,,transparent,,,,,2495.89,18.44,,,,
919,Blanksea,63,8,Fibre,,transparent,,,,,1257.52,15.33,,,,
920,A,73,,,,,,,,,,,,,,nothing
920,B,74,,,,,,,,,,,,,,nothing
920,C,75,,Fibre,,black,,,,,2435.77,9.91,,,,
920,C,75,1,Fibre,,transparent/grey,,,,,1992.67,17.01,,,,natural?
