"","Station","Sample","Filter","Photo","Type","Type2","Colour","Colour2","Colour3","Colour4","Col.Type","Length","Width","Area","Perimeter","Perimeter.2","Possible.contamination","Comments","SizeClass"
"87","909","A",25,2,"Fragment",,"transparent","blue",,,"spotted",353.64,154.87,51868.65,"943.48",,"Piece of buffer bottle?",,"large"
"88","909","B",26,0,"Fragment",,"black","transparent",,,"sectioned",664.68,366.77,225452.71,"3489.48",,,"Looks like rubber/often observed","large"
"89","909","B",26,4,"Fibre",,"black",,,,,588.78,31.75,,,,,,"large"
"90","909","B",26,2,"Fibre",,"brown",,,,,1014.46,14.27,,,,,,"large"
"91","909","B",26,1,"Fibre",,"transparent","blue",,,"sectioned",2015.33,14.35,,,,,"often observed","large"
"92","909","B",26,3,"Fibre",,"transparent","blue",,,"sectioned",2811.52,12.57,,,,,"often observed","large"
"93","909","C",27,1,"Fibre",,"blue",,,,,1722.02,10.42,,,,,,"large"
"94","909","C",27,0,"Fibre",,"brown",,,,,5434.15,15.59,,,,,,"large"
"95","909","C",27,2,"Fibre",,"brown",,,,,820.51,4.18,,,,,,"large"
"96","910","A",28,0,"Fibre",,"blue",,,,,1950.35,7.61,,,,,,"large"
"97","910","A",28,3,"Fibre",,"purple",,,,,669.05,7.37,,,,,,"large"
"98","910","A",28,7,"Fibre",,"purple",,,,,638.52,12.17,,,,,,"large"
"99","910","A",28,8,"Fibre",,"purple",,,,,941.32,7.61,,,,,,"large"
"100","910","A",28,9,"Fibre",,"purple",,,,,420.16,10.96,,,,,,"large"
"101","910","A",28,10,"Fibre",,"purple",,,,,1514.65,5.67,,,,,,"large"
"102","910","A",28,1,"Fibre",,"red",,,,,703.53,9.46,,,,,,"large"
"103","910","A",28,10,"Fibre",,"red",,,,,675.28,17.2,,,,,,"large"
"104","910","A",28,6,"Fragment",,"red",,,,,398.85,61.38,24097.02,"900.23",,,,"large"
"105","910","A",28,2,"Fibre",,"transparent","blue",,,"sectioned",1593.95,16.03,,,,,"often observed","large"
"106","910","A",28,10,"Fibre",,"transparent","blue",,,"sectioned",816.28,8.21,,,,,"often observed","large"
"107","910","B",29,2,"Fibre",,"black",,,,,1111.11,5.06,,,,,,"large"
"108","910","B",29,6,"Paint",,"blue",,,,,169.66,56.6,9076.55,"411.25",,"paint from boat?",,"medium"
"109","910","B",29,1,"Fibre",,"brown",,,,,633.24,11.96,,,,,"Looks a bit like a hair","large"
"110","910","B",29,0,"Fibre",,"brown",,,,,500.43,3.77,,,,,,"large"
"111","910","B",29,0,"Fibre",,"brown",,,,,1273.35,3.77,,,,,,"large"
"112","910","B",29,3,"Fibre",,"brown",,,,,610.25,2.53,,,,,,"large"
"113","910","B",29,4,"Fibre",,"brown",,,,,902.37,8.19,,,,,,"large"
"114","910","B",29,5,"Fibre",,"brown",,,,,355.41,5.66,,,,,,"large"
"115","910","B",29,8,"Fibre",,"red",,,,"light",2631.09,15.09,,,,,,"large"
"116","910","B",29,7,"Fibre",,"transparent","blue",,,"sectioned",1192.67,5.66,,,,,"often observed","large"
"117","910","B",29,7,"Fibre",,"transparent","blue",,,"sectioned",2834.35,11.37,,,,,"often observed","large"
"118","910","C",30,1,"Fibre",,"brown","black",,,,1010.94,3.9,,,,,,"large"
"119","910","C",30,2,"Fibre",,"brown","black",,,,1527.51,6.52,,,,,,"large"
"120","910","C",30,3,"Fibre",,"brown","black",,,,489.48,8.47,,,,,,"large"
"121","910","C",30,4,"Fibre",,"brown","black",,,,292.88,9.14,,,,,,"medium"
"122","910","C",30,0,"Paint",,,,,,,,,,,,"paint from boat?",,
"123","911","A",31,0,"Fragment",,"black","transparent",,,"sectioned",407.56,66.69,37252.23,"997.5",,,"Looks like rubber/often observed","large"
"124","911","A",31,1,"Fibre",,"blue",,,,,1176.64,6.5,,,,,,"large"
"125","911","A",31,3,"Fibre",,"purple",,,,,2287.41,15.61,,,,,,"large"
"126","911","A",31,2,"Fibre",,"transparent","blue",,,"sectioned",1049.64,13,,,,,"often observed","large"
"127","911","B",32,1,"Fragment",,"black","transparent",,,"sectioned",479.89,200.64,54301.12,"1459.94",,,"Looks like rubber/often observed","large"
"128","911","B",32,0,"Fragment",,"blue",,,,,243.02,31.89,10429.67,"608.42",,,,"medium"
"129","911","C",33,2,"Fibre",,"brown",,,,,485.77,7.79,,,,,,"large"
"130","911","C",33,0,"Fragment",,"purple",,,,,198.76,105.11,19508.29,"577.88",,,"Looks like glas/crystal","medium"
"131","911","C",33,3,"Fragment",,"purple",,,,,303.68,202.3,54063.92,"909.81",,,"Looks like glas/crystal","medium"
"132","912","A",35,0,"Fibre",,"black",,,,,1039.23,7.41,,,,,,"large"
"133","912","A",35,4,"Fibre",,"blue",,,,"light",2462.95,9.88,,,,,,"large"
"134","912","A",35,1,"Fibre",,"brown",,,,,890.22,6.99,,,,,,"large"
"135","912","A",35,3,"Fibre",,"brown",,,,,369.83,2.47,,,,,,"large"
"136","912","A",35,2,"Fibre",,"purple",,,,"light",997.14,8.04,,,,,,"large"
"137","912","B",36,,,,,,,,,,,,,,,"Nothing found",
"138","912","Blank",49,2,"Fibre",,"transparent",,,,,787.38,17.96,,,,,,"large"
"139","912","Blank",49,3,"Fibre",,"transparent",,,,,1411.55,22.58,,,,,,"large"
"140","912","C",37,,,,,,,,,,,,,,,"Nothing found",
"141","913","A",38,2,"Paint",,"blue",,,,,,,,,,"paint from boat?",,
"142","913","A",38,2,"Paint",,"blue",,,,,,,,,,"paint from boat?",,
"143","913","A",38,1,"Fibre",,"red",,,,"light",1178.13,26.08,,,,,,"large"
"144","913","A",38,3,"Paint",,"red",,,,,300.98,145.6,45539.28,"1037.84",,,,"medium"
"145","913","A",38,0,"Fibre",,"transparent","blue",,,"sectioned",476.25,10.49,,,,,"often observed","large"
"146","913","B",39,1,"Fibre",,"blue",,,,,923.74,12.27,,,,,,"large"
"147","913","B",39,0,"Fragment",,"purple",,,,,221.37,27.44,8748.33,"527.19",,,"Looks like glas/crystal","medium"
"148","913","Blank",41,0,"Fibre",,"red",,,,,728.74,20.47,,,,,,"large"
"149","913","Blank",41,1,"Fibre",,"transparent",,,,,719.13,18.47,,,,,,"large"
"150","913","C",40,0,"Fibre",,"transparent","blue",,,"sectioned",718.48,11.8,,,,,"often observed","large"
"151","914","A",42,5,"Fragment",,"purple",,,,"light",200.99,65.93,6945.58,"578.54",,,,"medium"
"152","914","A",42,7,"Fragment",,"purple",,,,"light",274.22,28.83,10092.94,"691.55",,,,"medium"
"153","914","A",42,8,"Fibre",,"purple",,,,,1412.59,7.42,,,,,,"large"
"154","914","A",42,0,"Fragment",,"purple",,,,,206.49,68.69,13863.66,"539.4",,,"Looks like glas/crystal","medium"
"155","914","A",42,1,"Fragment",,"purple",,,,,252.69,102.88,26127.66,"669.79",,,"Looks like glas/crystal","medium"
"156","914","A",42,6,"Fibre",,"red",,,,"light",2510.15,9.41,,,,,,"large"
"157","914","A",42,2,"Fibre",,"transparent","blue",,,"sectioned",2654.19,18.25,,,,,"often observed","large"
"158","914","A",42,3,"Fibre",,"transparent","blue",,,"sectioned",1155.74,14.6,,,,,"often observed","large"
"159","914","A",42,4,"Fibre",,"transparent","blue",,,"sectioned",1905.98,23.39,,,,,"often observed","large"
"160","914","B",43,5,"Fragment",,"black","transparent",,,"sectioned",156.81,84.02,13783.18,"610.13",,,"Looks like rubber/often observed","medium"
"161","914","B",43,4,"Fibre",,"black",,,,,1663.17,12.08,,,,,,"large"
"162","914","B",43,6,"Fibre",,"brown",,,,,779.35,13,,,,,,"large"
"163","914","B",43,7,"Fibre",,"purple",,,,"light",590.72,37.82,,,,,,"large"
"164","914","B",43,2,"Fibre",,"red",,,,,7042.66,18.24,,,,,,"large"
"165","914","B",43,3,"Fibre",,"transparent","blue",,,"sectioned",873.02,22.66,,,,,"often observed","large"
"166","914","Blank",45,4,"Fibre",,"brown",,,,"light",1136.2,4.22,,,,,"Same as 1 and 3","large"
"167","914","Blank",45,5,"Fibre",,"brown",,,,"light",1067.04,4.68,,,,,"Same as 1,3 and 4","large"
"168","914","Blank",45,1,"Fibre",,"brown",,,,"light",1877.33,5.85,,,,,"This would have not been detected on a normal filter","large"
"169","914","Blank",45,3,"Fibre",,"brown",,,,"light",769.08,4.85,,,,,,"large"
"170","914","Blank",45,2,"Fibre",,"transparent","blue",,,"sectioned",1044.96,11.61,,,,,"often observed","large"
"171","914","Blank",45,0,"Fibre",,"transparent",,,,,2922.02,40.36,,,,,"This would have not been detected on a normal filter","large"
"172","914","C",44,5,"Fragment",,"black","transparent",,,"sectioned",626.56,103.28,181437.06,"2659.71",,,"Looks like rubber/often observed","large"
"173","914","C",44,8,"Fragment",,"black","transparent",,,"sectioned",360.33,52.26,26159.81,"1041.55",,,"Looks like rubber/often observed","large"
"174","914","C",44,14,"Fibre",,"blue",,,,,1020.71,22.42,,,,,,"large"
"175","914","C",44,0,"Fibre",,"green",,,,"light",2535.49,544.59,,,,"Piece of rope?",,"large"
"176","914","C",44,5,"Fibre",,"red",,,,,3440.73,11.1,,,,,,"large"
